0:0:0.0	50.738	50.739	50.826	0.000	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0
0:0:0.50	50.782	50.784	50.781	0.000	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0
0:0:0.100	50.782	50.784	50.781	0.000	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0
0:0:0.150	50.782	50.784	50.781	0.000	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0
0:0:0.200	50.782	50.784	50.781	0.000	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0
0:0:0.250	50.782	50.784	50.781	0.000	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0
0:0:0.300	50.782	50.784	50.781	0.000	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0
0:0:0.350	50.782	50.784	50.781	0.000	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0
0:0:0.400	50.782	50.784	50.781	0.000	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0
0:0:0.450	50.782	50.784	50.781	0.000	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0
0:0:0.500	50.782	50.784	50.781	0.000	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0
0:0:0.550	50.782	50.784	50.781	0.000	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0
0:0:0.600	50.782	50.784	50.781	0.000	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0
0:0:0.650	50.782	50.784	50.781	0.000	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0
0:0:0.700	50.782	50.784	50.781	0.000	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0
0:0:0.750	50.782	50.784	50.781	0.000	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0
0:0:0.800	50.782	50.784	50.781	0.000	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0
0:0:0.850	50.782	50.784	50.781	0.000	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0
0:0:0.900	50.782	50.784	50.781	0.000	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0
0:0:0.950	50.782	50.784	50.781	0.000	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0
0:0:1.0	50.782	50.784	50.781	0.000	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0
