0:0:1.600	7.936	7.938	7.935	0.000	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0	
0:0:1.700	9.255	9.256	6.617	0.000	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0	
0:0:1.800	9.438	9.439	6.434	0.000	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0	
0:0:1.900	7.936	7.938	7.935	0.000	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0	
0:0:2.0	9.804	11.417	5.262	0.000	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0	
0:0:2.100	12.062	14.163	2.760	0.000	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0	
0:0:2.200	12.483	17.527	0.867	0.000	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0	
0:0:2.300	12.477	17.557	0.855	0.000	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0	
0:0:2.400	11.910	16.989	1.423	0.000	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0	
0:0:2.500	11.537	16.617	1.795	0.000	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0	
0:0:2.600	10.384	14.926	3.217	0.000	0.000	0.000	0	0	0	0	0	0	0	0	0	0	0	0	
